schema_version,run_id,suite,grammar_id,grammar_description,parser,case_id,size_label,parameter_name,parameter_value,token_count,input_tokens,input_sha256,timeout_seconds,status,outcome,accepted,ambiguity,tree_present,elapsed_ns,wall_elapsed_ns,exit_code,error_kind,detail,elapsed_ms,wall_elapsed_ms,completed,timed_out
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,costar,classical.P1.large,large,n,256,512,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,6fc7c33088a92da1fdbd09722c246f988cb4822a185d3cb1a4aad3b08fa8e471,60.0,ok,accept,true,unique,true,586986,810815,,,,0.586986,0.810815,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,earley,classical.P1.small,small,n,4,8,a a a a b b b b,847e5485c8ce109e62513b7c3dac5a77328a28465985a9d74729ca5319474d2d,60.0,ok,accept,true,unknown,true,50000,354156,,,,0.049999999999999996,0.35415599999999997,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,earley,classical.P1.medium,medium,n,32,64,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,6ea9f555bd080295f2e4cd2b071a2d592ac3b4c90723250f42eafb4c794c0074,60.0,ok,accept,true,unknown,true,366000,552550,,,,0.366,0.55255,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,earley,classical.P1.large,large,n,256,512,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,6fc7c33088a92da1fdbd09722c246f988cb4822a185d3cb1a4aad3b08fa8e471,60.0,ok,accept,true,unknown,true,12128000,12961403,,,,12.128,12.961402999999999,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,lean,classical.P1.small,small,n,4,8,a a a a b b b b,847e5485c8ce109e62513b7c3dac5a77328a28465985a9d74729ca5319474d2d,60.0,ok,accept,true,unknown,true,716829,864846,,,,0.7168289999999999,0.864846,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,lean,classical.P1.medium,medium,n,32,64,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,6ea9f555bd080295f2e4cd2b071a2d592ac3b4c90723250f42eafb4c794c0074,60.0,ok,accept,true,unknown,true,26954105,27263217,,,,26.954105,27.263216999999997,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,lean,classical.P1.large,large,n,256,512,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,6fc7c33088a92da1fdbd09722c246f988cb4822a185d3cb1a4aad3b08fa8e471,60.0,ok,accept,true,unknown,true,1786621714,1790015930,,,,1786.6217139999999,1790.01593,true,false
1,20260726T135725.806593Z,classical,P2,"Predictive, semicolon-terminated identifier list",costar,classical.P2.small,small,items,4,8,ID COMMA ID COMMA ID COMMA ID SEMI,1c8330261ce282056e8fd4ee984a6f01e0324502479b01793d5b847a4a7991ae,60.0,ok,accept,true,unique,true,10967,106460,,,,0.010967,0.10646,true,false
1,20260726T135725.806593Z,classical,P2,"Predictive, semicolon-terminated identifier list",costar,classical.P2.medium,medium,items,32,64,ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID SEMI,5f42d3c082dd0011320b12f444f243edcbddfc7ed08cc3e361c4fa00c71639cb,60.0,ok,accept,true,unique,true,51975,131949,,,,0.051975,0.13194899999999998,true,false
1,20260726T135725.806593Z,classical,P2,"Predictive, semicolon-terminated identifier list",costar,classical.P2.large,large,items,256,512,ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID COMMA ID SEMI,0909f581203d3d4a16cd5d8b6b46443001f2940efdcfd3a34739246e9c136b00,60.0,ok,accept,true,unique,true,324010,500582,,,,0.32400999999999996,0.500582,true,false
