schema_version,run_id,suite,grammar_id,parser,case_id,metric,value
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n021,cached_endpoints,942
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n021,memo_entries,715
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n021,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n021,representative_tree_nodes,9996
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n021,successful_ends,21
1,20260726T135725.806593Z,classical,P2,earley,classical.P2.small,chart_items,21
1,20260726T135725.806593Z,classical,P2,earley,classical.P2.small,pointers,21
1,20260726T135725.806593Z,classical,P2,earley,classical.P2.medium,chart_items,161
1,20260726T135725.806593Z,classical,P2,earley,classical.P2.medium,pointers,161
1,20260726T135725.806593Z,classical,P2,earley,classical.P2.large,chart_items,1281
1,20260726T135725.806593Z,classical,P2,earley,classical.P2.large,pointers,1281
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.small,cached_endpoints,9
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.small,memo_entries,6
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.small,memo_tags,1
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.small,representative_tree_nodes,101
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.small,successful_ends,3
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.medium,cached_endpoints,81
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.medium,memo_entries,45
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.medium,memo_tags,1
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.medium,representative_tree_nodes,1896
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.medium,successful_ends,9
1,20260726T135725.806593Z,classical,C1,earley,classical.C1.small,chart_items,60
1,20260726T135725.806593Z,classical,C1,earley,classical.C1.small,pointers,60
1,20260726T135725.806593Z,classical,C1,earley,classical.C1.medium,chart_items,1390
1,20260726T135725.806593Z,classical,C1,earley,classical.C1.medium,pointers,1390
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n023,cached_endpoints,5549
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n023,memo_entries,553
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n023,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n023,representative_tree_nodes,128468
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n023,successful_ends,23
1,20260726T135725.806593Z,classical,C1,earley,classical.C1.large,chart_items,68478
1,20260726T135725.806593Z,classical,C1,earley,classical.C1.large,pointers,68478
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.large,cached_endpoints,1089
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.large,memo_entries,561
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.large,memo_tags,1
1,20260726T135725.806593Z,classical,A1,lean,classical.A1.large,representative_tree_nodes,73876
